Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
39,Gran Turismo Sport,,PS4,Sony Interactive Entertainment,Polyphony Digital,,,,,3770000.0,630000.0,2350000.0,240000.0,540000.0,2017-10-17 00:00:00,2018-01-13 00:00:00
40,Midnight Club 3: DUB Edition,,PSP,Rockstar Games,Rockstar Leeds,,7.2,,,3660000.0,1650000.0,1220000.0,,790000.0,2005-06-27 00:00:00,N/A
41,The Simpsons: Road Rage,,PS2,Electronic Arts,Radical Entertainment,,6.1,,,3610000.0,2020000.0,1170000.0,,420000.0,2001-11-24 00:00:00,N/A
42,F-1 Race,,GB,Nintendo,Nintendo,,,,3410000.0,,,,,,1991-02-01 00:00:00,N/A
43,Gran Turismo (PSP),,PSP,Sony Computer Entertainment,Polyphony Digital,,,,,3270000.0,510000.0,1590000.0,310000.0,860000.0,2009-10-01 00:00:00,2018-01-03 00:00:00
44,Need for Speed III: Hot Pursuit,,PS,Electronic Arts,EA Canada,,,,,3120000.0,2140000.0,860000.0,,130000.0,1998-03-25 00:00:00,N/A
45,Star Wars Episode I Racer,,N64,LucasArts,LucasArts,,8.7,,3120000.0,,,,,,1999-05-19 00:00:00,N/A
46,MotorStorm,,PS3,Sony Computer Entertainment,Evolution Studios,8.5,8.2,,3000000.0,,,,,,2007-03-06 00:00:00,N/A
47,Rally Championship,,Series,Unknown,Red Rat Software|Pixelcraft|Magnetic Fields|Europress|Creative Asylum Limited|Warthog Games,,,,3000000.0,,,,,,N/A,2020-02-28 00:00:00
48,Wave Race 64,,N64,Nintendo,Nintendo EAD,,9.2,,2940000.0,,,,,,1996-11-05 00:00:00,N/A
49,Colin McRae Rally,,PS,Sony Computer Entertainment,Codemasters,,7.9,,,2870000.0,90000.0,2430000.0,120000.0,220000.0,2000-01-31 00:00:00,N/A
50,F-Zero,,SNES,Nintendo,Nintendo EAD,,,,2850000.0,,,,,,1991-08-13 00:00:00,N/A
51,Gran Turismo (PSP),,PSN,Sony Computer Entertainment,Polyphony Digital,,7.8,,,2820000.0,430000.0,910000.0,310000.0,1160000.0,2009-10-01 00:00:00,N/A
52,Need for Speed: Hot Pursuit,,PS3,Electronic Arts,Criterion Games,,8.9,,,2810000.0,1050000.0,1240000.0,30000.0,490000.0,2010-11-16 00:00:00,N/A
53,Need for Speed: Most Wanted (2012),,PS3,Electronic Arts,Criterion Games,,,,,2740000.0,710000.0,1520000.0,60000.0,450000.0,2012-10-30 00:00:00,2018-12-19 00:00:00
54,Need for Speed (2015),,PS4,Electronic Arts,Ghost Games,,7.0,,,2720000.0,590000.0,1660000.0,60000.0,410000.0,2015-11-03 00:00:00,2018-04-03 00:00:00
55,Burnout 3: Takedown,,PS2,Electronic Arts,Criterion Games,,9.3,,,2680000.0,1230000.0,1110000.0,,340000.0,2004-09-07 00:00:00,N/A
56,Need for Speed: Shift,,PS3,Electronic Arts,Slightly Mad Studios,8.6,8.2,,,2650000.0,690000.0,1400000.0,40000.0,520000.0,2009-09-15 00:00:00,N/A
57,Midnight Club: Street Racing,,PS2,Rockstar Games,Angel Studios,,,,,2630000.0,2000000.0,470000.0,20000.0,140000.0,2000-10-25 00:00:00,N/A
58,Crazy Taxi,,PS2,Acclaim Entertainment,Hitmaker,,8.2,,,2520000.0,1130000.0,1120000.0,60000.0,220000.0,2001-05-14 00:00:00,N/A
59,Midnight Club: Los Angeles,,PS3,Rockstar Games,Rockstar San Diego,,8.3,,,2500000.0,1590000.0,540000.0,50000.0,330000.0,2008-10-20 00:00:00,N/A
60,Forza Horizon 3,,XOne,Microsoft Studios,Playground Games,,9.0,,2500000.0,,,,,,2016-09-27 00:00:00,2018-01-13 00:00:00
61,Pure,,X360,Disney Interactive Studios,Black Rock Studio,,8.3,,,2470000.0,1380000.0,840000.0,0.0,250000.0,2008-09-16 00:00:00,N/A
