Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
259,Castlevania: Lords of Shadow 2,,PS3,Konami Digital Entertainment,Mercury Steam,,,,,200000.0,30000.0,130000.0,20000.0,30000.0,2014-02-25 00:00:00,2018-11-02
260,Code of Princess,,3DS,Atlus,Studio Saizensen,,7.2,,,200000.0,160000.0,,30000.0,20000.0,2012-10-09 00:00:00,2019-01-05
261,The Amazing Spider-Man (2012),,DS,Activision,Other Ocean Interactive,,,,,200000.0,150000.0,30000.0,,20000.0,2012-06-26 00:00:00,2018-03-15
262,Resident Evil Zero,,PC,Capcom,Capcom,,,,200000.0,,,,,,2016-01-19 00:00:00,2018-09-04
263,Sleeping Dogs: Definitive Edition,,XOne,Square Enix,United Front Games,,7.5,,,200000.0,100000.0,90000.0,,20000.0,2014-10-14 00:00:00,2018-05-01
264,Skylanders: SuperChargers Racing,,3DS,Activision,Beenox,,,,,200000.0,110000.0,70000.0,,20000.0,2015-09-20 00:00:00,2018-04-06
265,How to Train Your Dragon 2,,Wii,Little Orbit,Torus Games,,,,,190000.0,40000.0,140000.0,,10000.0,2014-06-10 00:00:00,2018-03-17
266,Lego Star Wars: The Force Awakens,,PSV,Warner Bros. Interactive Entertainment,TT Fusion,,,,,180000.0,20000.0,100000.0,20000.0,30000.0,2016-06-28 00:00:00,2018-03-31
267,How to Train Your Dragon 2,,X360,Little Orbit,Torus Games,,,,,180000.0,60000.0,100000.0,,10000.0,2014-06-10 00:00:00,2018-03-17
268,Castlevania: Lords of Shadow 2,,PC,Konami Digital Entertainment,Mercury Steam,,,,170000.0,,,,,,2014-02-25 00:00:00,2018-11-02
269,Epistory - Typing Chronicles,,PC,Unknown,Fishing Cactus,,,,170000.0,,,,,,N/A,2019-03-13
270,Murdered: Soul Suspect,,XOne,Square Enix,Airtight Games,,,,,170000.0,80000.0,70000.0,,10000.0,2014-06-03 00:00:00,2018-08-06
271,Dead Rising 4: Frank's Big Package,,PS4,Capcom,Capcom,,,,,160000.0,80000.0,50000.0,,30000.0,2017-12-05 00:00:00,2018-09-25
272,Mad Dagger,,PC,Unknown,YarGri,,,,160000.0,,,,,,N/A,2019-03-18
273,Just Cause 3,,PC,Square Enix,Avalanche Studios,,7.6,,,160000.0,30000.0,120000.0,,10000.0,2015-12-01 00:00:00,2018-04-04
274,Witch It,,PC,Unknown,Barrel Roll Games,,,,160000.0,,,,,,N/A,2019-03-19
275,Adventure Time: Explore the Dungeon Because I Don't Know!,,3DS,D3Publisher,Way Forward,,,,,160000.0,100000.0,40000.0,,10000.0,2013-11-19 00:00:00,2018-03-19
276,Only One Hope,,PC,Unknown,Unknown,,,,160000.0,,,,,,N/A,2019-03-19
277,Legends of Chima: Laval's Journey,,PSV,Warner Bros. Interactive Entertainment,TT Fusion,,,,,160000.0,10000.0,110000.0,,40000.0,2013-06-25 00:00:00,2018-12-03
278,Apartment 666,,PC,Unknown,I Need Play,,,,160000.0,,,,,,N/A,2019-03-19
279,Naruto Powerful Shippuden,,3DS,Namco Bandai Games,Namco Bandai Games,,8.0,,,160000.0,80000.0,20000.0,40000.0,10000.0,2013-03-05 00:00:00,2018-11-06
280,Darksiders II,,WiiU,THQ,Vigil Games,,8.2,,,160000.0,70000.0,70000.0,,10000.0,2012-11-18 00:00:00,2018-03-14
281,Castlevania: Lords of Shadow - Mirror of Fate,,3DS,Konami Digital Entertainment,Mercury Steam,,7.2,,,160000.0,40000.0,80000.0,30000.0,10000.0,2013-03-05 00:00:00,2018-11-06
282,LEGO The Hobbit,,PSV,Warner Bros. Interactive Entertainment,TT Fusion,,,,,160000.0,20000.0,100000.0,,30000.0,2014-04-08 00:00:00,2018-03-15
283,The Amazing Spider-Man (2012),,Wii,Activision,Beenox,,,,,160000.0,100000.0,40000.0,,10000.0,2012-06-26 00:00:00,2018-03-15
284,Metal Gear Solid V: The Phantom Pain,,X360,Konami Digital Entertainment,Kojima Productions,,,,,160000.0,100000.0,50000.0,,10000.0,2015-09-01 00:00:00,2018-09-12
285,Gravity Rush Remastered,,PS4,Sony Computer Entertainment,Bluepoint Games,,7.9,,,160000.0,20000.0,60000.0,50000.0,20000.0,2016-02-02 00:00:00,2018-09-23
286,Batman: Arkham Origins Blackgate,,PC,Warner Bros. Interactive Entertainment,Armature Studio,,,,160000.0,,,,,,2014-04-01 00:00:00,2018-12-10
287,Assassin's Creed Rogue Remastered,,PS4,Ubisoft,Ubisoft,,,,,150000.0,,130000.0,10000.0,20000.0,2018-03-20 00:00:00,2018-01-29
288,Mitsurugi Kamui Hikae,,PC,Unknown,Zenith Blue,,,,150000.0,,,,,,N/A,2019-03-20
289,Rabi-Ribi,,PC,Unknown,CreSpirit,,,,150000.0,,,,,,N/A,2019-03-20
