Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
2635,60 seconds!,,PC,Robot Gentleman Studios,Robot Entertainment,,,,,,,,,,2015-05-25 00:00:00,2018-01-06 00:00:00
2636,60 Seconds!,,NS,Robot Gentleman Studios,Robot Gentleman Studios,,,,,,,,,,2017-12-18 00:00:00,2018-02-04 00:00:00
2637,A World of Keflings,,WiiU,Unknown,NinjaBee,,,,,,,,,,N/A,2018-01-05 00:00:00
2638,Ace Attorney 123: Wright Selection,,NS,Capcom,Capcom,,,,,,,,,,2019-02-21 00:00:00,2019-02-24 00:00:00
2639,Air Conflicts: Double Pack,,NS,U&I Entertainment,U&I Entertainment,,,,,,,,,,2019-12-01 00:00:00,2018-10-07 00:00:00
2640,Air Force Special Ops Nightfall,,PS4,Sony Interactive Entertainment,Sony Interactive Entertainment,,,,,,,,,,2017-06-20 00:00:00,2018-09-19 00:00:00
2641,Akogare Girls Collection: Wan Nyan Doubutsu Byouin Pet no Oisha-san ni Narou!,,3DS,Nippon Columbia,Nippon Columbia,,,,,,,,,,2018-03-15 00:00:00,2018-04-02 00:00:00
2642,Amorous,,PC,Snaggletooth Studios,Team Amorous,,,,,,,,,,2018-04-13 00:00:00,2019-04-04 00:00:00
2643,Animal Crossing: Pocket Camp,,And,Nintendo,Nintendo,,,,,,,,,,2017-11-22 00:00:00,2018-04-04 00:00:00
2644,Animal Crossing: Pocket Camp,,iOS,Nintendo,Nintendo,,,,,,,,,,2017-11-22 00:00:00,2018-04-04 00:00:00
2645,Artemis Spaceship Bridge Simulator,,PC,"Incandescent Core, LLC","Incandescent Core, LLC",,,,,,,,,,2013-09-16 00:00:00,2018-08-18 00:00:00
2646,Automachef,,PC,Team 17,Hermes Interactive,,,,,,,,,,2019-07-23 00:00:00,2019-08-17 00:00:00
2647,Bee Simulator,,PS4,Unknown,Varsav Games Studio,,,,,,,,,,N/A,2018-08-03 00:00:00
2648,Bee Simulator,,NS,Unknown,Varsav Games Studio,,,,,,,,,,N/A,2018-08-03 00:00:00
2649,Bee Simulator,,XOne,Unknown,Varsav Games Studio,,,,,,,,,,N/A,2018-08-03 00:00:00
2650,Bee Simulator,,PC,Unknown,Varsav Games Studio,,,,,,,,,,N/A,2018-08-03 00:00:00
2651,Bomber Crew,,XOne,Curve Digital,Runner Duck,,,,,,,,,,2018-07-10 00:00:00,2019-01-03 00:00:00
2652,Bomber Crew,,NS,Merge Games,Runner Duck,,,,,,,,,,2019-03-12 00:00:00,2019-01-03 00:00:00
2653,Bomber Crew,,PS4,Merge Games,Runner Duck,,,,,,,,,,2019-03-12 00:00:00,2019-01-03 00:00:00
2654,Bridge Constructor Portal,,NS,Headup Games,ClockStone,,,,,,,,,,2018-02-28 00:00:00,2018-02-22 00:00:00
2655,Bridge Constructor Portal,,iOS,Unknown,ClockStoneSoftware,,,,,,,,,,N/A,2018-02-21 00:00:00
2656,Catch & Release,,PS4,metricminds GmbH & Co. KG,metricminds GmbH & Co. KG,,,,,,,,,,2018-08-28 00:00:00,2019-04-20 00:00:00
