Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
36,Tecmo Bowl,,Series,Tecmo,Tecmo|Sculptured Software|Polygon Magic|Southend Interactive,,,,5000000.0,,,,,,1987-12-01 00:00:00,2020-02-08 00:00:00
37,Madden NFL 06,,PS2,EA Sports,EA Tiburon,,9.1,,,4910000.0,3980000.0,260000.0,10000.0,660000.0,2005-08-08 00:00:00,N/A
38,Tony Hawk's Pro Skater 2,,PS,Activision,Neversoft Entertainment,,9.3,,,4680000.0,3050000.0,1410000.0,20000.0,200000.0,2000-09-20 00:00:00,N/A
39,FIFA 15,,PS3,EA Sports,EA Canada,,6.9,,,4560000.0,590000.0,3250000.0,40000.0,680000.0,2014-09-23 00:00:00,2018-03-23 00:00:00
40,Mario & Sonic at the Olympic Winter Games,,Wii,Sega,Sega,,6.8,,,4540000.0,1870000.0,1970000.0,220000.0,480000.0,2009-10-13 00:00:00,N/A
41,Madden NFL 2005,,PS2,EA Sports,EA Tiburon,,9.5,,,4530000.0,4179999.9999999995,260000.0,10000.0,80000.0,2004-08-09 00:00:00,N/A
42,Madden NFL 07,,PS2,EA Sports,EA Tiburon,,8.5,,,4490000.0,3630000.0,240000.0,10000.0,610000.0,2006-08-22 00:00:00,N/A
43,Tony Hawk's Pro Skater 3,,PS2,Activision,Neversoft Entertainment,,9.1,,,4410000.0,2660000.0,1290000.0,10000.0,460000.0,2001-10-28 00:00:00,N/A
44,Winning Eleven: Pro Evolution Soccer 2007,,PS2,Konami,Konami Computer Entertainment Tokyo,,8.8,,,4390000.0,100000.0,2390000.0,1050000.0,860000.0,2007-02-06 00:00:00,N/A
45,FIFA Soccer 06,,PS2,EA Sports,EA Canada,,8.4,,,4210000.0,780000.0,2550000.0,40000.0,840000.0,2005-10-04 00:00:00,N/A
46,Mario Strikers,,Series,Nintendo,Next Level Games,,,,4200000.0,,,,,,2005-12-05 00:00:00,2020-02-21 00:00:00
47,FIFA Soccer 12,,X360,EA Sports,EA Canada,,9.2,,,4179999.9999999995,850000.0,2790000.0,20000.0,520000.0,2011-09-27 00:00:00,N/A
48,FIFA 14,,X360,EA Sports,EA Canada,,,,,4150000.0000000005,940000.0,2920000.0,10000.0,290000.0,2013-09-24 00:00:00,2018-09-15 00:00:00
49,Madden NFL 2003,,PS2,EA Sports,EA Tiburon,,9.4,,,4139999.9999999995,3360000.0,210000.0,10000.0,560000.0,2002-08-12 00:00:00,N/A
50,FIFA 07 Soccer,,PS2,EA Sports,Team Fusion,,8.4,,,4110000.0000000005,710000.0,2480000.0,30000.0,890000.0,2006-10-03 00:00:00,N/A
51,World Soccer Winning Eleven 9,,PS2,Konami,Konami Computer Entertainment Tokyo,,8.9,,,4059999.9999999995,120000.0,2260000.0,900000.0,770000.0,2006-02-07 00:00:00,N/A
52,Golf,,NES,Nintendo,Nintendo,,,,4010000.0,,,,,,1985-10-18 00:00:00,N/A
53,NBA 2K16,,PS4,2K Sports,Visual Concepts,,8.7,,,3980000.0,2560000.0,660000.0,50000.0,710000.0,2015-09-29 00:00:00,2018-03-28 00:00:00
54,EA Sports Active,,Wii,EA Sports,EA Vancouver,,8.3,,,3930000.0,2110000.0,1350000.0,60000.0,400000.0,2009-05-19 00:00:00,N/A
55,Tony Hawk's Underground,,PS2,Activision,Neversoft Entertainment,,8.7,,,3900000.0,2290000.0,1170000.0,10000.0,420000.0,2003-10-27 00:00:00,N/A
56,Sports Champions,,PS3,Sony Computer Entertainment,SCE San Diego Studio,,7.6,,,3880000.0,2150000.0,1130000.0,100000.0,500000.0,2010-09-17 00:00:00,N/A
57,World Soccer Winning Eleven 8 International,,PS2,Konami,Konami Computer Entertainment Tokyo,,9.3,,,3850000.0,160000.0,1890000.0,1120000.0,680000.0,2005-02-01 00:00:00,N/A
58,FIFA 17,,XOne,Electronic Arts,EA Canada,,8.8,,,3710000.0,1040000.0,2400000.0,,270000.0,2016-09-27 00:00:00,2018-03-28 00:00:00
59,FIFA Soccer 2005,,PS2,EA Sports,EA Canada,,8.4,,,3700000.0,580000.0,2480000.0,40000.0,590000.0,2004-10-12 00:00:00,N/A
60,Tony Hawk's Pro Skater 4,,PS2,Activision,Neversoft Entertainment,,9.6,,,3670000.0,2130000.0,1180000.0,10000.0,350000.0,2002-10-23 00:00:00,N/A
61,Pro Evolution Soccer 2008,,PS2,Konami,Konami,,8.2,,,3630000.0,50000.0,0.0,640000.0,2930000.0,2008-03-11 00:00:00,N/A
62,FIFA Soccer 10,,PS3,EA Sports,EA Canada,9.0,9.0,,,3630000.0,600000.0,2460000.0,50000.0,520000.0,2009-10-20 00:00:00,N/A
63,NBA 2K17,,PS4,2K Sports,Visual Concepts,,9.0,,,3520000.0,2280000.0,590000.0,30000.0,630000.0,2016-09-16 00:00:00,2018-03-28 00:00:00
64,FIFA Soccer 11,,X360,EA Sports,EA Canada,,8.7,,,3520000.0,710000.0,2390000.0,20000.0,400000.0,2010-09-28 00:00:00,N/A
65,FIFA Soccer 2004,,PS2,EA Sports,EA Canada,,8.0,,,3490000.0,590000.0,2360000.0,40000.0,510000.0,2003-11-04 00:00:00,N/A
66,Mario & Sonic at the Olympic Winter Games,,DS,Sega,Sega,,7.6,,,3470000.0,1210000.0,1630000.0,270000.0,370000.0,2009-10-13 00:00:00,N/A
67,FIFA 14,,PS4,EA Sports,EA Canada,,,,,3430000.0,620000.0,2180000.0,120000.0,510000.0,2013-11-15 00:00:00,2018-09-15 00:00:00
68,FIFA Soccer 2003,,PS2,EA Sports,EA Canada,,,,,3400000.0,460000.0,2280000.0,50000.0,610000.0,2002-11-14 00:00:00,N/A
69,Mario Baseball,,Series,Nintendo,Namco|Namco Bandai Games|Now Production,,,,3370000.0,,,,,,2005-08-29 00:00:00,2020-02-21 00:00:00
70,NBA 2K18,,PS4,2K Sports,Visual Concepts,,8.1,,,3340000.0,2130000.0,570000.0,40000.0,590000.0,2017-09-19 00:00:00,2018-04-02 00:00:00
71,Madden NFL 16,,PS4,EA Sports,EA Tiburon,,8.2,,,3300000.0,2390000.0,310000.0,,610000.0,2015-08-25 00:00:00,2018-03-31 00:00:00
72,Madden NFL 17,,PS4,EA Sports,EA Tiburon,,8.5,,,3280000.0,2300000.0,370000.0,,600000.0,2016-08-23 00:00:00,2018-04-01 00:00:00
73,FIFA 16,,XOne,EA Sports,EA Canada,,8.5,,,3250000.0,920000.0,2100000.0,,240000.0,2015-09-22 00:00:00,2018-04-01 00:00:00
74,Baseball,,NES,Nintendo,Nintendo,,,,3200000.0,,,,,,1985-10-01 00:00:00,N/A
75,FIFA Soccer 08,,PS2,EA Sports,EA Canada,,,,,3140000.0,680000.0,0.0,,2460000.0,2007-10-09 00:00:00,N/A
76,FIFA 18,,XOne,EA Sports,EA Vancouver,,8.0,,,3140000.0,980000.0,1920000.0,,230000.0,2017-09-29 00:00:00,2018-04-02 00:00:00
77,NBA 2K13,,X360,2K Sports,Visual Concepts,,8.6,,,3110000.0,2620000.0,210000.0,10000.0,280000.0,2012-10-02 00:00:00,2018-01-04 00:00:00
78,Madden NFL 2002,,PS2,EA Sports,EA Sports,,,,,3080000.0,2500000.0,160000.0,10000.0,420000.0,2001-08-19 00:00:00,N/A
79,World Class Track Meet,,NES,Bandai,Bandai,,,,3080000.0,,,,,,1987-09-01 00:00:00,N/A
80,WWE SmackDown! Shut Your Mouth,,PS2,THQ,Yuke's Future Media Creators,,,,,3020000.0,1450000.0,1130000.0,70000.0,380000.0,2002-10-31 00:00:00,N/A
81,Kinect Sports,,X360,Microsoft Game Studios,Rare Ltd.,,7.4,,3000000.0,,,,,,2010-11-04 00:00:00,N/A
82,Your Shape,,Series,Ubisoft,Ubisoft,,,,3000000.0,,,,,,2009-11-24 00:00:00,2020-02-10 00:00:00
83,World Soccer Winning Eleven 6 International,,PS2,Konami,Konami Computer Entertainment Tokyo,,,,,2990000.0,120000.0,1260000.0,1160000.0,450000.0,2003-03-11 00:00:00,N/A
84,Madden NFL 13,,X360,EA Sports,EA Tiburon,,8.0,,,2930000.0,2530000.0,160000.0,,240000.0,2012-08-28 00:00:00,2018-01-04 00:00:00
85,FIFA 15,,X360,EA Sports,EA Canada,,6.9,,,2910000.0,800000.0,1900000.0,,210000.0,2014-09-23 00:00:00,2018-03-23 00:00:00
86,World Soccer Winning Eleven 7 International,,PS2,Konami,Konami Computer Entertainment Tokyo,,9.2,,,2900000.0,80000.0,1240000.0,1130000.0,450000.0,2004-02-17 00:00:00,N/A
87,Sega Superstars Tennis,,X360,Sega,Sumo Digital,,6.9,,,2890000.0,1750000.0,860000.0,,280000.0,2008-03-18 00:00:00,N/A
88,Hot Shots Golf 3,,PS2,Sony Computer Entertainment,Clap Hanz,,,,,2890000.0,990000.0,320000.0,1380000.0,200000.0,2002-03-11 00:00:00,N/A
89,Zumba Fitness 2,,Wii,Majesco,"Pipeworks Software, Inc.",,,,,2830000.0,1520000.0,1050000.0,,260000.0,2011-11-15 00:00:00,N/A
90,Madden NFL 10,,X360,EA Sports,EA Tiburon,8.6,8.6,,,2830000.0,2520000.0,90000.0,,220000.0,2009-08-14 00:00:00,N/A
91,Hot Shots Golf,,PS,Sony Computer Entertainment,Camelot Software Planning,,,,,2790000.0,290000.0,200000.0,2130000.0,180000.0,1998-05-05 00:00:00,N/A
92,NBA Street,,PS2,EA Sports BIG,NuFX,,,,,2790000.0,2190000.0,220000.0,,380000.0,2001-06-18 00:00:00,N/A
93,Mario Tennis Aces,,NS,Nintendo,Camelot Software Planning,7.0,7.8,,2750000.0,,,,,,2018-06-22 00:00:00,2018-06-14 00:00:00
94,Madden NFL 13,,PS3,EA Sports,EA Tiburon,,8.3,,,2710000.0,2120000.0,240000.0,,360000.0,2012-08-28 00:00:00,2018-01-04 00:00:00
95,Skate 3,,X360,EA Sports,EA Black Box,7.7,8.3,,,2710000.0,1470000.0,990000.0,,250000.0,2010-05-11 00:00:00,N/A
96,Madden NFL 12,,X360,EA Sports,EA Tiburon,,7.8,,,2700000.0,2430000.0,110000.0,,160000.0,2011-08-30 00:00:00,N/A
97,Madden NFL 11,,X360,EA Sports,EA Tiburon,,8.3,,,2690000.0,2380000.0,120000.0,,190000.0,2010-08-10 00:00:00,N/A
98,NBA 2K12,,X360,2K Sports,Visual Concepts,,9.1,,,2640000.0,2320000.0,140000.0,10000.0,170000.0,2011-10-04 00:00:00,N/A
99,NBA 2K13,,PS3,2K Sports,Visual Concepts,,8.9,,,2630000.0,1740000.0,460000.0,50000.0,390000.0,2012-10-02 00:00:00,2018-01-04 00:00:00
100,NBA 2K19,,PS4,2K Sports,Visual Concepts,,,,,2630000.0,1690000.0,440000.0,30000.0,470000.0,2018-09-11 00:00:00,2018-09-26 00:00:00
101,ESPN NFL 2K5,,PS2,Sega,Visual Concepts,,,,,2620000.0,2150000.0,120000.0,,360000.0,2004-07-20 00:00:00,N/A
102,Madden NFL 18,,PS4,EA Sports,EA Tiburon,,8.2,,,2620000.0,1730000.0,420000.0,,470000.0,2017-08-25 00:00:00,2018-04-03 00:00:00
103,FIFA Soccer 10,,X360,EA Sports,EA Canada,9.0,8.9,,,2620000.0,600000.0,1790000.0,10000.0,230000.0,2009-10-20 00:00:00,N/A
104,Mario Strikers Charged,,Wii,Nintendo,Next Level Games,,7.7,,2600000.0,,,,,,2007-07-30 00:00:00,N/A
105,FIFA Soccer 09,,PS3,Electronic Arts,EA Canada,,8.6,,,2590000.0,490000.0,1630000.0,40000.0,430000.0,2008-10-14 00:00:00,N/A
106,NBA Live 2005,,PS2,EA Sports,EA Canada,,,,,2590000.0,2029999.9999999998,210000.0,,350000.0,2004-09-28 00:00:00,N/A
107,Madden NFL 08,,PS2,EA Sports,EA Tiburon,,,,,2570000.0,2140000.0,80000.0,,350000.0,2007-08-14 00:00:00,N/A
108,NBA 2K14,,X360,2K Sports,Visual Concepts,,,,,2570000.0,2110000.0,190000.0,0.0,270000.0,2013-10-11 00:00:00,2018-01-05 00:00:00
109,Hot Shots Golf,,PS,Sony Computer Entertainment,Camelot Software Planning,,,,,2560000.0,260000.0,170000.0,2130000.0,,1998-05-05 00:00:00,N/A
110,FIFA 16,,PS3,EA Sports,EA Canada,,9.0,,,2550000.0,430000.0,1680000.0,50000.0,380000.0,2015-09-22 00:00:00,2018-04-01 00:00:00
111,Madden NFL 09,,X360,EA Sports,EA Tiburon,,8.5,,,2540000.0,2210000.0,120000.0,,200000.0,2008-08-12 00:00:00,N/A
112,PES 2009: Pro Evolution Soccer,,PS2,Konami,Konami,,,,,2500000.0,130000.0,70000.0,260000.0,2049999.9999999998,2008-11-11 00:00:00,N/A
113,NBA 2K15,,PS4,2K Sports,Visual Concepts,,,,,2490000.0,1490000.0,550000.0,10000.0,440000.0,2014-10-07 00:00:00,2018-01-04 00:00:00
114,Madden NFL 16,,XOne,EA Sports,EA Tiburon,,8.4,,,2470000.0,2130000.0,80000.0,,260000.0,2015-08-25 00:00:00,2018-03-31 00:00:00
