Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
40,Metroid,,NES,Nintendo,Nintendo R&D1,,,,2730000.0,,,,,,1987-08-15 00:00:00,N/A
41,Harry Potter and the Chamber of Secrets,,PS2,Electronic Arts,Eurocom Entertainment Software,,,,,2610000.0,900000.0,1220000.0,40000.0,440000.0,2002-11-14 00:00:00,N/A
42,Grand Theft Auto: Episodes from Liberty City,,X360,Rockstar Games,Rockstar North,,9.0,,,2600000.0,1080000.0,1220000.0,30000.0,270000.0,2009-10-29 00:00:00,N/A
43,Rise of the Tomb Raider,,PC,Square Enix,Crystal Dynamics,,,,2490000.0,,,,,,2016-01-28 00:00:00,2018-04-11 00:00:00
44,LEGO Harry Potter: Years 1-4,,Wii,Warner Bros. Interactive,Traveller's Tales,,7.9,,,2450000.0,1290000.0,940000.0,,220000.0,2010-06-29 00:00:00,2018-12-01 00:00:00
45,Frogger's Adventures: Temple of the Frog,,GBA,Konami,Konami,,6.7,,,2390000.0,2150000.0,180000.0,,70000.0,2001-10-24 00:00:00,N/A
46,LEGO Indiana Jones: The Original Adventures,,Wii,LucasArts,Traveller's Tales,,7.8,,,2350000.0,1510000.0,620000.0,,220000.0,2008-06-03 00:00:00,N/A
47,LEGO Harry Potter: Years 1-4,,DS,Warner Bros. Interactive,Traveller's Tales,,8.0,,,2290000.0,1070000.0,1000000.0,,220000.0,2010-06-29 00:00:00,2018-12-01 00:00:00
48,Tomb Raider II,,PC,Eidos Interactive,Core Design Ltd.,,8.2,,,2290000.0,910000.0,1250000.0,,130000.0,1997-10-31 00:00:00,N/A
49,Prince of Persia: The Sands of Time,,PS2,Ubisoft,Ubisoft Montreal,,9.0,9.1,,2220000.0,880000.0,1030000.0,,310000.0,2003-11-06 00:00:00,N/A
50,The Legend of Zelda: Link's Awakening DX,,GBC,Nintendo,Nintendo EAD,,9.4,,2220000.0,,,,,,1998-10-31 00:00:00,2018-01-06 00:00:00
51,LEGO Indiana Jones: The Original Adventures,,DS,LucasArts,Traveller's Tales,,,,,2200000.0,1400000.0,600000.0,,210000.0,2008-06-03 00:00:00,N/A
52,Onimusha 2: Samurai's Destiny,,PS2,Capcom,Capcom,,8.5,,2100000.0,,,,,,2002-08-28 00:00:00,N/A
53,Grand Theft Auto: Episodes from Liberty City,,PS3,Rockstar Games,Rockstar North,,9.0,,,2089999.9999999998,620000.0,990000.0,130000.0,340000.0,2010-04-13 00:00:00,N/A
54,Rise of the Tomb Raider,,PS4,Square Enix,Crystal Dynamics,,,,,2069999.9999999998,610000.0,1080000.0,50000.0,320000.0,2016-10-11 00:00:00,2018-04-11 00:00:00
55,Professor Layton and the Last Specter,,DS,Nintendo,Level 5,,8.4,,2060000.0,,,,,,2011-10-17 00:00:00,N/A
56,Harry Potter and the Chamber of Secrets,,GBA,Electronic Arts,Eurocom Entertainment Software,,7.2,,,1990000.0,1210000.0,640000.0,50000.0,90000.0,2002-11-14 00:00:00,N/A
57,Harry Potter and the Chamber of Secrets,,PS,Electronic Arts,Argonaut Games,,,,,1980000.0,750000.0,1090000.0,20000.0,120000.0,2002-11-14 00:00:00,N/A
58,Scooby Doo and the Cyber Chase,,PS,THQ,Art,,,,,1940000.0,590000.0,1230000.0,,130000.0,2001-10-04 00:00:00,N/A
59,The Legend of Zelda: Oracle of Ages,,GBC,Nintendo,Flagship,,9.4,,,1920000.0,920000.0,530000.0,410000.0,60000.0,2001-05-13 00:00:00,2018-01-06 00:00:00
60,Until Dawn,,PS4,Sony Computer Entertainment,Supermassive Games Ltd.,,,,,1900000.0,620000.0,920000.0,60000.0,300000.0,2015-08-25 00:00:00,2018-09-14 00:00:00
61,The Legend of Zelda: Oracle of Seasons,,GBC,Nintendo,Flagship,,9.3,,,1860000.0,870000.0,520000.0,410000.0,60000.0,2001-05-13 00:00:00,2018-01-06 00:00:00
62,Star Fox Adventures,,GC,Nintendo,Rare Ltd.,,8.1,,1820000.0,,,,,,2002-09-22 00:00:00,N/A
63,The Legend of Zelda: The Minish Cap,,GBA,Nintendo,Flagship,,8.9,,1760000.0,,,,,,2005-01-10 00:00:00,N/A
64,Star Wars Episode I: The Phantom Menace,,PS,LucasArts,Big Ape Productions,,,,,1740000.0,720000.0,890000.0,40000.0,100000.0,1999-08-31 00:00:00,N/A
65,Metroid II: Return of Samus,,GB,Nintendo,Intelligent Systems,,7.3,,1720000.0,,,,,,1991-08-26 00:00:00,N/A
