Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
803,Shrek: Forever After,,X360,Activision,XPEC Entertainment Inc.,,,,,120000.0,110000.0,0.0,,10000.0,2010-05-18 00:00:00,N/A
804,Looney Tunes: Sheep Raider,,PS,Infogrames,Infogrames,,,,,120000.0,70000.0,50000.0,,10000.0,2001-09-27 00:00:00,N/A
805,Earthworm Jim 3D,,N64,Rockstar Games,VIS Entertainment,,,,,120000.0,100000.0,20000.0,,0.0,1999-10-31 00:00:00,N/A
806,Rocket: Robot on Wheels,,N64,Ubisoft,Sucker Punch,,8.3,,,120000.0,100000.0,20000.0,,0.0,1999-11-17 00:00:00,N/A
807,Dora the Explorer: Dora Saves the Mermaids,,PS2,2K Play,High Voltage Software,,,,,120000.0,60000.0,50000.0,,20000.0,2008-02-11 00:00:00,N/A
808,Sonic Adventure 2,,DC,Sega,Sonic Team,,8.9,,,120000.0,,,120000.0,,2001-06-18 00:00:00,N/A
809,8BitBoy,,PC,AwesomeBlade,AwesomeBlade,,,,120000.0,,,,,,2014-05-06 00:00:00,2019-04-16 00:00:00
810,Space Chimps,,PS2,Brash Entertainment,Red Tribe,,,,,120000.0,60000.0,50000.0,,20000.0,2008-07-15 00:00:00,N/A
811,N++,,PC,Metanet Software Inc.,Metanet Software Inc.,,,,120000.0,,,,,,2016-08-25 00:00:00,2019-04-16 00:00:00
812,"Ed, Edd n Eddy: The Mis-Edventures",,GBA,Midway Games,A2M,,,,,120000.0,80000.0,30000.0,,0.0,2005-11-03 00:00:00,N/A
813,Akuji the Heartless,,PS,Eidos Interactive,Crystal Dynamics,,6.7,,,120000.0,70000.0,40000.0,,10000.0,1998-12-31 00:00:00,N/A
814,Psychonauts,,XB,Majesco,Double Fine Productions,,8.8,,,120000.0,90000.0,30000.0,,0.0,2005-04-19 00:00:00,N/A
815,Swiftly,,PC,Cleverweek,Cleverweek,,,,120000.0,,,,,,2016-01-26 00:00:00,2019-04-10 00:00:00
816,Lost in Shadow,,Wii,Hudson Soft,Hudson Soft,,6.7,,,120000.0,90000.0,0.0,10000.0,10000.0,2011-01-04 00:00:00,N/A
817,Turok: Evolution,,GBA,Acclaim Entertainment,RFX Interactive,,,,,120000.0,80000.0,30000.0,,0.0,2002-08-26 00:00:00,N/A
818,Where the Wild Things Are,,Wii,Warner Bros. Interactive,Amaze Entertainment,,,,,120000.0,110000.0,0.0,,10000.0,2009-10-13 00:00:00,N/A
819,Squirbs,,PC,Team Indev,Team Indev,,,,110000.0,,,,,,2016-01-06 00:00:00,2019-04-08 00:00:00
820,INK,,PC,ZackBellGames,ZackBellGames,,,,110000.0,,,,,,2015-08-05 00:00:00,2019-04-07 00:00:00
