Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1137,Mass Effect: Andromeda,,PC,Electronic Arts,BioWare Corp.,,,,,130000.0,40000.0,80000.0,,10000.0,2017-03-21 00:00:00,2018-07-03 00:00:00
1138,Shin Megami Tensei: Devil Survivor 2 Record Breaker,,3DS,Atlus,Atlus,,8.4,,,130000.0,,20000.0,100000.0,0.0,2015-05-05 00:00:00,2018-01-31 00:00:00
1139,Delver,,PC,Priority Interrupt,Priority Interrupt,,,,130000.0,,,,,,2018-02-01 00:00:00,2019-04-21 00:00:00
1140,Doukyuusei 2,,SAT,NEC Interchannel,Elf,,,,,130000.0,,,130000.0,,1997-07-11 00:00:00,N/A
1141,Hand of Fate 2,,PC,Defiant Development,Defiant Development,,,,130000.0,,,,,,2017-11-07 00:00:00,2019-04-21 00:00:00
1142,Baroque,,PS2,Atlus,Sting,6.0,,,,130000.0,50000.0,40000.0,20000.0,10000.0,2008-04-08 00:00:00,N/A
1143,Etrian Odyssey 2 Untold: Knight of Fafnir,,3DS,Atlus,Atlus,,8.0,6.0,,130000.0,90000.0,20000.0,,10000.0,2015-08-04 00:00:00,2018-01-30 00:00:00
1144,The Legend of Heroes: Trails of Cold Steel III,,PS4,NIS America,Nihon Falcom Corporation,,7.0,,,130000.0,,,130000.0,,2019-09-24 00:00:00,2018-07-03 00:00:00
1145,Last Ranker,,PSP,Capcom,imageepoch Inc.,,,,,130000.0,,,130000.0,,2010-07-15 00:00:00,N/A
1146,Rogue Port - Blue Nightmare,,PC,Sunight Games,Sunight Games,,,,130000.0,,,,,,2017-02-20 00:00:00,2019-04-21 00:00:00
1147,Puella Magi Madoka Magica Portable,,PSP,Namco Bandai Games,Banpresto,,,,,120000.0,,,120000.0,,2012-03-15 00:00:00,2018-11-14 00:00:00
1148,Sword Art Online: Hollow Fragment,,PS4,Namco Bandai Games,Namco Bandai Games,,,,,120000.0,,110000.0,,20000.0,2015-07-28 00:00:00,2018-07-03 00:00:00
1149,Ni no Kuni II: Revenant Kingdom,,PC,Namco Bandai Games,Level 5,,8.5,,120000.0,,,,,,2018-03-23 00:00:00,2019-04-21 00:00:00
