Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
58,Realm of the Mad God,,PC,Kabam,Wild Shadow Studios,,,,,,,,,,2012-02-20 00:00:00,2018-07-24
59,The Elder Scrolls Online,,OSX,Bethesda Softworks,Bethesda Game Studios,,,,,,,,,,2014-04-04 00:00:00,2018-09-15
60,World of Warcraft: Warlords of Draenor,,OSX,Blizzard Entertainment,Blizzard Entertainment,,,,,,,,,,2014-11-13 00:00:00,2018-08-11
61,Aberoth,,PC,Jarbit,Jarbit,,,,,,,,,,2015-07-17 00:00:00,2019-04-08
62,ATLAS,,PC,Studio Wildcard,Studio Wildcard,,,,,,,,,,2018-12-19 00:00:00,2018-12-12
63,ATLAS,,XOne,Studio Wildcard,Studio Wildcard,,,,,,,,,,2019-10-08 00:00:00,2018-12-12
64,Bit Heroes,,PC,Kongregate,Juppiomenz,,,,,,,,,,2017-12-13 00:00:00,2019-04-07
65,Black Desert,,XOne,Pearl Abyss,Pearl Abyss,,,,,,,,,,2019-03-04 00:00:00,2019-01-07
66,Black Desert Online,,PC,Kakao Games,Pearl Abyss,,,,,,,,,,2016-03-03 00:00:00,2019-01-07
67,Blue Protocol,,PC,Bandai Namco Entertainment,Bandai Namco Games,,,,,,,,,,2020-12-01 00:00:00,2019-07-26
68,Closers,,PC,En Masse Entertainment,Naddic Games,,,,,,,,,,2016-11-27 00:00:00,2019-03-24
69,Closers,,PS4,En Masse Entertainment,Naddic Games,,,,,,,,,,2020-12-31 00:00:00,2019-03-24
70,Dragon Quest X: All in One Package Ver.1-4,,PC,Square Enix,Square Enix,,,,,,,,,,2018-07-26 00:00:00,2018-11-06
71,Dragon Quest X: All in One Package Ver.1-4,,WiiU,Square Enix,Square Enix,,,,,,,,,,2018-07-26 00:00:00,2018-09-15
72,Final Fantasy XIV: Shadowbringers,,PC,Square Enix,Square Enix,,,,,,,,,,2019-07-02 00:00:00,2019-06-13
73,Final Fantasy XIV: Shadowbringers,,PS4,Square Enix,Square Enix,,,,,,,,,,2019-07-02 00:00:00,2019-06-13
74,Heaven Forest - VR MMO,,PC,Chubby Pixel,Fabio Ferrara,,,,,,,,,,2016-12-10 00:00:00,2019-04-08
75,Last Oasis,,PC,Donkey Crew,Donkey Crew,,,,,,,,,,2019-09-03 00:00:00,2019-06-14
76,Magic: Legends,,PC,Perfect World Entertainment,Cryptic Studios,,,,,,,,,,2020-12-01 00:00:00,2020-01-09
77,New World,,PC,Amazon Game Studios,Amazon Game Studios,,,,,,,,,,2021-08-25 00:00:00,2019-12-16
78,Phantasy Star Online 2: Cloud,,NS,Sega,Sega,,,,,,,,,,2018-04-04 00:00:00,2018-11-06
79,Starbase,,PC,Frozenbyte,Frozenbyte,,,,,,,,,,2019-12-01 00:00:00,2019-05-29
80,The Elder Scrolls Online: Greymoor,,PC,Bethesda Softworks,ZeniMax Online Studios,,,,,,,,,,2020-05-26 00:00:00,2020-01-16
81,The Elder Scrolls Online: Greymoor,,XOne,Bethesda Softworks,ZeniMax Online Studios,,,,,,,,,,2020-06-09 00:00:00,2020-01-16
82,The Elder Scrolls Online: Greymoor,,PS4,Bethesda Softworks,ZeniMax Online Studios,,,,,,,,,,2020-06-09 00:00:00,2020-01-16
83,The Elder Scrolls Online: Tamriel Unlimited,,PC,Bethesda Softworks,ZeniMax Online Studios,,,,,,,,,,2015-06-09 00:00:00,2018-09-15
84,Trove,,PC,Unknown,Trion Worlds,,,,,,,,,,N/A,2019-03-26
85,Warspear Online,,PC,AIGRIND,AIGRIND,,,,,,,,,,2017-11-02 00:00:00,2019-04-22
86,World of Warcraft: Classic,,PC,Blizzard Entertainment,Blizzard Entertainment,,,,,,,,,,2019-08-27 00:00:00,2019-07-10
87,Worlds Adrift,,PC,Bossa Studios,Bossa Studios,,,8.6,,,,,,,2017-05-24 00:00:00,2019-04-03
